Character,Line
Kyle,"DUDE! Did you just shit your pants?!
"
Cartman,"Nnnn-mo...
"
Stan,"So, I just tried to keep the tour group moving, as fast as possible.
"
Michael,"All right guys, this is where we're going to break for lunch.
"
Guide,"Come in by the waterfall, gang! 
"
Stan,"Oh no, could, could we skip lunch and keep going?
"
Man 2,"Skip a free lunch? Not me! 
"
Guide,"Wo wants sandwiches?  We got ...turkey.  Ham.  Turkey ham. 
"
Pete,"Long story short, we picked up our bags and went to our hotel. 
"
Cartman,"Oogh! Ugh! You guys, seriously! Something's wrong in my tummy! 
"
Kyle,"The stop drinking Double Dew, fatass!
"
Cartman,"This is Diet Double Dew Kyle! It only has half the caffeine and sugar of Double Dew.  Oh man, you guys, I gotta get to a bathroom fast.
"
Kyle,"You're in a forest! Go take a crap!
"
Cartman,"If I crap in the woods, the blood will attract beavers, Kyle!
"
Stan,"Hey ah, I'm so sorry, but we have an emergency. Our friend is really really sick.
"
Michael,"Oh, you mean the little kid with the herpes?
"
Stan,"...Yyyeah.
"
Guide,"That's not herpes, it's a cold sore.
"
Michael,"Right, sorry.
"
Stan,"Yeah, his, his cold sore is really bad, and uhh he's losing blood, so we've gotta go.
"
Michael,"Jesus, sorry dude, but we're at the summit. The only way down is to zip down.
"
Some adults,"Zipline! Wooo!
"
Guide,"What about the stables?
"
Michael,"Oh yeah, the stables. There's, there's a ranch right past that hill that rents out horses. I, I bet they can get you back.
"
Kyle,"Suddenly, Stan says he knows about some horse stables. Ih it seemed too good to be true.
"
Rancher,"Now let me get this straight: You want four horses, one for each of ya?
"
Stan,"Yea, please!
"
Rancher,"Well I think we can set ya up.
"
Kyle,"Oh, thank God!
"
Stan,"You see guys? This is gonna be sweet after all.
"
Rancher,"Step right out here, we'll get you going.  Got four more for you, Duncan. 
"
Cartman,"NOOO! 
"
Narrator,"Four young boys in Colorado are on a trip from hell.
"
Kyle,"AAAAH! 
"
Cartman,"Eeeeugh.
"
Narrator,"Trapped in a tour group on horsback that is only allowed to travel four miles an hour. 
"
Kyle,"Can we please go faster?!
"
Kenny,"(I can't take it!)
"
Duncan,"We got some lunch set up for ya up ahead. Some turkey sandwiches and Diet Double Dew.
"
Kyle,"AAAAAAAAAAH!
"
Cartman,"Uh oh. 
"
Rider 1,"So anyway, long story short, I was born in 1953 at six in the morning.
"
Narrator,"An attempt to make a bad day better becomes a descent into madness on... ""I Should Have Never Thought Horseback Riding Would Be Any Better Than Ziplining""
"
Duncan,"This here waterfall is called Heartbreak Falls. Would you all like to know why it's called Heartbreak Falls?
"
Rider 2,"Well I certainly would! 
"
Stan,"Kyle. Kyle? Kyle, come on, wake up!
"
Kyle,"Just go. Go without me.
"
Stan,"No, we're not leaving you here, Kyle!
"
Kyle,"I can't take it anymore.  Why do people say ""long story short""? They're not making it short, Stan.
"
Stan,"I just sat there, watching Kyle die and... I wanted to tell him the truth right then and there. But then this... fire rose up inside of me, I... I thought ""I can find us a way out!"" I ran off and went searching for, I don't know how long. Twelve minutes? And that's when I found it.
"
Stan,"You guys, you guys! Get up! Listen to me! There's a lake a hundred yards down that way! They've got a marina with boats just sitting there!
"
Cartman,"A marina?
"
Stan,"We can take a boat, you guys! We can probably take it all the way back to Fairplay!
"
Kyle,"What's the point?
"
Stan,"Come on you guys! A boat all to ourselves? It'll be fun! What could possibly go wrong?! 
"
Narrator,"Four young boys in Colorado are on a trip from hell.  Trapped on a 42-foot powerboat  which is only allowed to go five miles an hour. 
"
Kyle,"Because we keep getting screwed over by your diarrhea!
"
Cartman,"Well it's not my diarrhea's fault that you took us all ziplining, you fuckin' Jew!
"
Kyle,"Ziplining was your idea, you fatass!
"
Narrator,"The fourth graders are in a nightmare they cannot escape.
"
Cartman,"Kenny, whose idea was it to go ziplining? Mine, or Kyle's?
"
Kenny,"I don't know. I really don't give a shit.
"
Narrator,"For four elementary school boys, an alrady tragic day becomes a descent into madness on... ""I Should Have Never Got On A Goddamn Boat"" 
"
Kyle,"Oh no.  You're not stinking up the entire boat! You're taking a crap off the side into the water!
"
Kenny,"Beavers! 
"
Narrator,"After cleaning Cartman's diarrhea and fighting off beavers, the boys have made a terrifying discovery: that boating is just as boring as ziplining.
"
Stan,"The boat went really slow and it just went round and round.
"
Cartman,"WAAAAAAAAAAAAAH!
"
Narrator,"If the boys fall asleep now, from the lack of excitement, they could die. 
"
Kyle,"Here!  Everyone drink some Mountain Dew!
"
Kyle,"I don't know, I-I just thought if we all drank the Mountain Dew, the caffeine and the sugar would help us stay awake. I told Cartman he has to share it.
"
Cartman,"I'm not sharing with Kenny. He has herpes!
"
Kenny,"Hey.  Fuck you, Cartman.
"
Narrator,"Four young boys in Colorado are on a trip from hell.  And just when it seems it can't get any worse... 
"
Stan,"...Kenny? Kenny! 
"
Narrator,"Kenny McCormick has died of boredom.
"
Kyle,"Oh my God, they killed Kenny! YOU BASTARDS!
"
Cartman,"No, not they, YOU! Look what your ziplining idea has done! You killed Kenny, YOU're the bastard!
"
Kyle,"IT WASN'T MY IDEA, IT WAS YOURS! YOU KILLED KENNY, YOU BASTARD!
"
Stan,"And finally, I couldn't hold it in anymore. I said ""Stop it!""
"
Stan,"Stop it! It was me! My idea.
"
Cartman,"You?!
"
Stan,"Four days ago, I came across a brochure for ziplining.  I thought it would be fun. I only acted like it was an idea we all came up with together. 
"
Kyle,"So you intended for us to go ziplining all along? Why, Stan?!
"
Stan,"If you signed up three friends, you got a free iPod Nano. 
"
Kyle,"You sold us out?! For an iPod Nano?!
"
Stan,"I had no idea ziplining would be so boring.
"
Cartman,"You... You killed Kenny! 
"
Kyle,"You BAStard! You BAStard, Stan! 
"
Kyle,"How many iPod Nanos is friendship worth? I guess, one.
"
Stan,"The hardest part about it is knowing you can't take it back.  I mean, it was the fifth-generation Nano, so I can't trade it in anywhere.
"
Narrator,"But then, miraculously, the boys' prayers are finally answered. 
"
Cartman,"It was a miracle. He came to save us and take us back home.
"
Cartman,"You came for us!
"
Kyle,"Mr. Hankey!
"
Stan,"Thank you.  Mr. Hankey. 
"
Mr. Hankey,"Howdy ho, boys? Let's get you back home. 
"
Cartman,"We were saved. It was over.
"
Narrator,"After nearly four hours in the Colorado wilderness, the boys are finally going home. From the boat, the boys were airlifted aboard Mr. Hankey's magical helicrapter.  In the four hours since they had left home, the boys had traveled so far that Mr. Hankey then had to fly them on his Seven Turdy Seven.  From there, it was only an hour ride back home on the Poochoo Express.  Four friends, turn apart by tragedy , would now start the long journey back to forgiveness. Kenny McCormick's remains were finally brought home to his parents.  And the boys received treatment for their herpes. 
"
Cartman,"No, I didn't get herpes, I just had a cold sore.
"
Narrator,"Kyle Broflovski spent twenty seven days in the hospital having fecal matter removed from his nasal passages. Stan Marsh dedicated himself to raising awareness about the boredom risks of ziplining.  His awareness videos became so popular that Stan once again ended up jacking it in San Diego. As for Eric Cartman,  he refused to let the tragedy stop him from doing what he loves most. In just two weeks, he was back to drinking Diet Double Dew, defiant to dew the math.
"
Cartman,"It's diet, dude. Diet soda doesn't give you diarrhea. 
"
Butters,"Fellas! Fellas! Fellas!  AAAAH, Fellas!
"
Stan,"What? 
"
Butters,"Guess what Larry Barsky just told me?!
"
Cartman,"What?
"
Butters,"Guess!
"
Kyle,"Just tell us, Butters.
"
Butters,"There's a new girl that started school here today. And she's joined the cheerleading squad.
"
Craig,"Oh, we have a new cheerleader?
"
Clyde,"What's she look like?
"
Kenny,"(Yeah, what's her name?)
"
Cartman,"Alright guys, alright! If there is a new girl at our school, we're not gonna start putting claims on her and getting into big fights! It's gonna be her choice who she likes the most.
"
Butters,"Theh theh, there she is. 
"
Cartman,"Oh my God. Token, aren't you stoked?  Aww, that's awesome, Token. I'm happy for you.
"
Token,"Why?! Why are you happy for me?!
"
Cartman,"Dude, I'm being seriously. You guys will be really cute together. What are you gonna say to her?
"
Token,"Nothing! 
"
Cartman,"What the? ...Oh, Token's shy. Oh my God, that is adorable.
"
Mr. Garrison,"And so what we start to see now is a pattern in world history much like the Greeks and the Romans. Remember that there were seven families fighting for control of the land of Westeroth. The king of Westeroth was who? Robert Baratheon , and he asked Eddard, also known as, of course, Lord Stark, to serve as hand of the king. You remember that Lord Stark accepted, or course. The queen's family - that's the Lannisters - were really trying back then to take control, weren't they? But where were the Targaryens at this time? Well, they were across the sea. We all talked about how they were also trying to take the throne. So we've got the Greeks, the Romans, the Starks, Lannisters, Baratheons, Targaryens, all headed for a big blowout right in Season 2. Now, what I really wanted to get into today is what was going on in the north, because that's just a whole other mess- 
"
Cartman,"Dude... Token!  Token. Dude.  Psst. Token.  Go ahead. Go ahead dude. Token! Yeah, get in there.
"
Kyle,"Will you shut the hell up?! 
"
Cartman,"...Token. Do you want me to pass her a jelly bean?
"
Token,"No!
"
Cartman,"Huh?
"
Token,"NO.
"
Mr. Garrison,"Token, is there a problem? 
"
Cartman,"Ah he's just a little sick, Mr. Garrison. He's got boneritis.  Right guys? 
"
Mr. Garrison,"Everyone pay attention!  Now, what I really wanna get into today is what was going on in the north, because that's just a whole other mess that's pretty hard to keep straight, isn't it? The Night's Watch- 
"
Cartman,"Token.  Dude, dude. Dude.
"
Red,"So then Kelly I guess told Stacey that she wasn't invited, so now Stacey's pissed at us.
"
Cartman,"Hey, guys? Can I talk to you?
"
Bebe,"Why?!
"
Cartman,"Just, could I talk to you, real quick?  What kind of stuff is the new girl saying about Token?
"
Red,"About Token? Why?
"
Cartman,"Well, Token's really shy, so, I'm just here, sort of on his behalf 'cause, you know.
"
Bebe,"Token likes Nichole?
"
Cartman,"W-yeah, of course. 
"
Red,"Oh yeah, I don't think she has any idea.
"
Cartman,"Yeah, so, could you guys just let her know that, you know, she might have to make the first move?
"
Bebe,"Okay.
"
Cartman,"Thanks, you guys.
"
Lola,"One two three four, sorry Bebe.
"
Bebe,"Oh, that's okay.  So, Nichole, guess what? One of the boys here already has a crush on you.
"
"Lola, Jenny, Red, and Wendy","Ohhh.
"
Nichole,"Oh my God, who?
"
Red,"That boy Token.
"
Wendy,"Oh he's really nice, Nichole. I dated him for a little while. 
"
Nichole,"Oh gee, thanks you guys, but to be totally honest, I kinda think this other boy is cute.
"
Bebe,"Who? Whowhowhowho?
"
Nichole,"That kid, with the orange coat and the greet hat?
"
Wendy,"Oh, you mean Kyle?
"
Nichole,"Yeah.
"
The Girls,"Oooo, Kyle.
"
Cartman,"WHAT?! KYLE?! 
"
Bebe,"Nichole loves Kyle! Nichole and Kyle sittin' in a tree.
"
The Girls,"K I S S O M G!
"
Nichole,"Haha, shut up you guys! It's just a crush. 
"
Cartman,"Motherfucker! 
"
The Girls,"We are Cows, proud and true! Count on South Park, moo moo moo! Goooo Cows! 
"
Cartman,"Hey, ah, Nichole, right?
"
Nichole,"Yeah. 
"
Cartman,"Can I talk to you for a second, just for a second, right over here?  Listen uh, I heard through the grapevine that you've got a thing for Kyle?
"
Nichole,"Oh no, who told you that?
"
Cartman,"Just, the grapevine. Um, there's something you should probably know.  Oh man this is hard. Um, the thing is, me and Kyle are kind of, you know, ...together?
"
Nichole,"Ohhh.
"
Cartman,"Yeah, he's my man. I'm more out than Kyle is, but... it's tough, because he acts like we're not a couple at school because he's embarrassed, but... we get home and he's the best boyfriend I've ever had.
"
Nichole,"Wow, ah I'm sorry. I totally respect that.  Hey, thanks a lot for telling me.
"
Cartman,"Cool, just, you know, don't touch me 'cause I'm not into girls, so it kind of grosses me out.
"
Nichole,"Oh, I'm sorry.
"
Cartman,"Yeah, kewl. Anyway, thanks a lot and just, you know, stay away from my man, bitch. 
"
Nichole,"Hey, uh, I just wanna let you know, if you ever need somebody to talk to, I'm here.
"
Kyle,"Oh, thanks.  Dude, that new girl's into me!
"
Cartman,"Psst Butters. Butters!  At the end of PE class, tell Nichole that the gym teacher wants some towels delivered to the boys' locker room.
"
Butters,"How come?
"
Cartman,"Let's just say that by this time tomorrow, Token and Nichole are gonna be practically married.
"
Butters,"Are you sure, Eric? I mean, maybe they just aren't meant for each other.
"
Cartman,"No no.  Love is like taking a dump, Butters. Sometimes it works itself out, but sometimes, you've gotta give it a nice hard slimy push.
"
Butters,"Oh hey, Nichole? Coach wants you to take these to the boys' locker room. 
"
Nichole,"Oh, he does?  Okay.
"
Cartman,"Guys! Guys, get outside! It's the Bat-Mobile! Bat-Mobile, you guys! 
"
Craig,"Where?
"
Jimmy,"Ah I don't see a b- b- Bat-Mobile.
"
Nichole,"Hello??
"
Token,"AAA!
"
Nichole,"OH! Oh gosh I'm so sorry!
"
Token,"Where is everybody? What's goin' on??
"
Nichole,"Coach wanted me to...  I'm sorry. 
"
Kyle,"Hey guys. Guys! Hold up.  Hey uhm, you're kind of friends with that Nichole girl, right?
"
Jenny,"Yyeah.
"
Kyle,"Well... what kind of stuff does she like? Do you know?
"
Lola,"She likes... movies, cats.
"
Jenny,"She likes basketball.
"
Kyle,"Ogh. Oh cool, she likes basketball? That's perfect! Thanks, you guys!
"
Lola,"Well- Hey Kyle,  we were headed over to the mall. You wanna go with us?
"
Kyle,"Oh. Uh, can't right now, but maybe another time. See ya! 
"
Jenny,"Guess he has a crush on Nichole.
"
Lola,"I don't think so. I heard Kyle swings for the same team.
"
Jenny,"Really?
"
Kyle,"It's perfect! I could take her to a basketball game.  Man I I don't know what's happenin', but... it seems like all the girls are... kind of into me lately. 
"
Token,"Hey! In here! 
"
Nichole,"You think the janitors are still here?
"
Token,"Don't worry. It's gonna be okay. We've got water, and, and maybe somebody even left some food laying around. Come on. 
"
Nichole,"Look!  Somebody left a deli platter.  And board games. And massage oil.
"
Token,"Oh... Good.
"
Nichole,"Well that was sure an interesting night.
"
Token,"It sure was.
"
Nichole,"Hey, thanks a lot for making me feel safe in there. That could have been reeeally scary.
"
Token,"Yeah. Now that it's over, I.. I guess it was kind of fun. 
"
Nichole,"Yeahh, it kind of was. Maybe... uh I don't know. Maybe we should get some lunch tomorrow.
"
Cartman,"Oh my God, this is sooo cute.
"
Token,"I'd like that.
"
Nichole,"Cool. Well... thanks again. 
"
Cartman,"Ohhhhh my God.
"
Cupid Me,"We did it, Eric. We found in each other a ray of sunshine.
"
Cartman,"You're my ray of sunshine, Cupid Me. 
"
Cupid Me,"Teeheeheehee. 
"
Cartman,"I see the questions in your eyes.
I know what's weighing on your mind.
You can be sure I know, my heart.
Girl I'll stand beside you through the years
You'll only cry those happy tears
And though I make mistakes, I'll never break your heart
I swear by the moon and the stars in the sky
I'll be there
I swear (I swear) like a shadow that's by your side (Keep it down, girl)
I'll be there
For better or worse (better or worse), till death do us part (death do us part)
I'll love you with every black beat of my heart
And I swear. I swear. I s-we-e-e-ear Yeah, I swear. Straight up. What it do?
"
Cartman,"Did you see that? Token was gonna push her, but then he tickled her instead. 
"
Stan,"Dude, why are you so into their relationship?
"
Cartman,"I don't know, it's just so... perfect. 
"
Kyle,"You motherfucker! 
"
Cartman,"Kyle, Jesus Christ!
"
Kyle,"What the hell are you doing telling people that we're a gay couple?!
"
Cartman,"Oh, heard that through the grapevine, did you?
"
Kyle,"The new girl liked me, and so you lied to her!
"
Cartman,"Somebody had to intervene, Kyle! You were standing in the way of Token and Nichole! They belong together!
"
Kyle,"Just because two people are the same race doesn't mean they belong together, you fat racist piece of fucking garbage!
"
Cartman,"Oh! Oh, I'm a I'm a racist, huh?! I'm a racist! It's how nature works, Kyle! Look! Look, what about Luke Covina and Maria Sanchez?  Is it a coincidence that they ended up together?!
"
Stan,"Actually, I heard they're together because they got locked in the school gym overnight a few months ago.
"
Cartman,"Oh did they? Uh I hadn't heard about that.
"
Cupid Me,"Teehee, that was us, remember, Eric?
"
Cartman,"Shh, quiet, Cupid Me.
"
Kyle,"What?!
"
Cartman,"Nothing.
"
Kyle,"Who is Cupid Me?!
"
Cartman,"Nobody.
"
Kyle,"You are gonna tell everyone that you lied and that we aren't a couple!
"
Cartman,"Why Kyle?! So you can try and ruin things for Token and Nichole?! Look at how happy they are!  Is it that you want to ruin that or are you just homophobic?!
"
Kyle,"God-damnit! 
"
Dad,"Nichole? Your mother tells me that you already have a boyfriend at school.
"
Nichole,"His name is Token. He's really nice.
"
Dad,"Well that's good. But... your mother tells me that this boy is... black.
"
Nichole,"So?
"
Dad,"Well, Nichole, it's just... You know, just because you're black doesn't mean you can only date black boys. It's just a little weird that we moved to this whole new place and you're immediately drawn to the one other black person.
"
Mom,"Oh stop, William. There's nothing wrong with her dating a black person.
"
William,"But I'm not saying it's wrong, I'm just saying... she's gonna have to deal with racist people out there! People turning their heads and saying, ""Oh, look at the two black people together. That figures!""
"
Nichole,"It's not like that, Dad. We just happen to like each other. I know it seems like a strange coincidence, but it really is. A coincidence.
"
Mom,"And we are very happy for you, sweetheart. Here, have some more turkey.
"
William,"Yeah, just try the white meat. I know it's a little dry, but... there's a lot more of it.
"
Cartman,"Come on!  Other people have to use the bathroom, you know? Can you hurry up in there?! 
"
Cupid Me,"Teeheeheehee, heeheehee.
"
Cartman,"Jesus Christ, Cupid Me, you givin' birth in there?!
"
Cupid Me,"Sorry. 
"
Cartman,"That-s al- Oh, Cupid Me!  Sick! What the fuck have you been eating?!
"
Cupid Me,"Heeheeheeheeheehee.
"
Cartman,"Dude, at least flush the toilet!  Aww, it's cute, it's little chocolate hearts.
"
Cupid Me,"They're fudgey charms of sunshine.
"
Cartman,"You're my fudgey charm of sunshine. Come here, you! 
"
Cupid Me,"Teeheeheehee, teeheeheeheehee. 
"
Cartman,"I'm gonna get you! 
"
Cupid Me,"Heeheehee, no! 
"
Cartman,"I almost got you! Almost! 
"
Liane,"Everything okay, sweetie?
"
Cartman,"Everything's great, Mom.  No! Come back here and flush the toilet, you silly! Noohoho! 
"
Nichole,"Oh no...
"
Nichole,"Hey Token.
"
Token,"Hey Nichole.
"
Nichole,"Can I talk to you for a sec?
"
Token,"Sure!  What's up?
"
Nichole,"Listen, I... ugh, I don't think this is gonna work out.
"
Token,"Oh.
"
Nichole,"I'm so sorry. It's just... I don't believe we're really on the same page, you know?
"
Token,"Okay...
"
Nichole,"I think you're really great... Ww-we just...
"
Token,"I think, you're really great.
"
Nichole,"...I'm sorry.
"
Token,"Yeah. I'm sorry too. I'll see you around. 
"
Nichole,"Okay. 
"
Cartman,"It's not fair! They were so... happy!
"
Butters,"It's gonna be okay, Eric.
"
Cartman,"It's NOT gonna be okay! Why did they break up?! They were meant for each other!
"
Butters,"They'll find love somewhere else.
"
Cartman,"No, they won't!
"
Butters,"Yes, they will.
"
Cartman,"No, they won't! Fuck you Butters, you're an asshole!
"
Cupid Me,"Teeheehee. Looks like somebody could use a little arrow of sunshine.
"
Cartman,"And you! I should never have believed in you!
"
Butters,"In...in who, Eric?
"
Cartman,"I never wanna see you again!  Take! Your sunshine! And frakin'! Die! 
"
Kyle,"Hey man. You okay?
"
Token,"Yeah.
"
Kyle,"What happened? It just didn't work out?
"
Token,"Yeah I guess.
"
Kyle,"So, you guys are totally broken up then? It's... done?
"
Token,"Yeah.
"
Kyle,"So then, she's gonna be seeing other people? Is she, sort of, available?
"
Token,"Yeah, we're through.
"
Kyle,"Sooo, theoretically, if someone was to step in, it would beee, okayyy?
"
Token,"I'm sorry Kyle. I like girls. 
"
Kyle,"Huh?  Dude, what the fuck?
"
Announcer,"We'll be back with more of the Jeffersons right after this.
"
Man,"I work hard, so I need a laxative that works hard too!  I can't be constipated on the job.  That's why I need... Soft Serve.  Because when I'm constipated, sometimes even a hard push isn't enough.  Don't give up. Get back in there and get to work!  'Cause when the going gets tough, the tough gets going!
"
Cartman,"That's right... That's right!  Ohhh.  I'm so sorry. I shouldn't have doubted you. Please come back. I know I got a little angry but... I believe in you. Do you hear me? I believe in you.
"
Cupid Me,"No, you don't.
"
Cartman,"Yes, I do, Cupid Me. Love is the bestest feeling in the world. I believe you can change everything.
"
Cupid Me,"No, you don't. 
"
Cartman,"Please, I can't do this alone. They need us. And I need you. My little flicker of twinkle stars. 
"
Cupid Me,"Teehee, stop it.
"
Cartman,"Come on, twinkle stars, we got work to do.
"
Cupid Me,"Heeheehee, heeheeheehee,  Heeheeheeheeheeheeheehee.
"
Cartman,"Hi, can I speak to Nichole please? It's very important.
"
William,"I'm sorry, but she's at the Denver Nuggets game.
"
Cartman,"Denver Nuggets game?
"
William,"Yeah, she went with a nice white, Jewish boy.
"
Cartman,"NOOOOOOO! 
"
Announcer,"Welcome to today's matchup between the Denver Nuggets and the Los Angeles Clippers.  And now, here to sing the National Anthem, country music star Brad Paisley. 
"
Brad Paisley,"O! say can you see by the dawn's early light,
What so proudly we hailed at the twilight's last gleaming,
Whose broad stripes and bright stars-
"
Cartman,"Nooooooo!
"
Announcer,"Nuggets fans, please direct your attention to center court and the president of Halitosis Kidz. , who invite you to join the Denver Nuggets in the fight against morbid halitosis in children.  Here to attempt a three-point shot for adolescents with terminally bad breath is  the poster child for Halitosis Kidz, Stacy Muleburg.  And a good try. 
"
Stacy,"Aaahahahaaaa.
"
Adults,"Awww! 
"
Cartman,"NOOOOOOO. 
"
Guard,"Tickets please.
"
Cartman,"No time! NOOOOOOO!
"
Announcer,"We're all set for the tipoff. 
"
Cartman,"Attention! Attention please!  This is a message for all of you out there who have just ended a relationship. Sometimes, love is hard. But you can't just run away from it. When you start to have something special you have to work at it!  Even though it might seem like the world is against you, you still have to hold on! With both hands!  Don't let society dictate who you can and can't be with. Kyle, I love you babe. You can run all you want, try to pretend you like girls, but damnit, when we kiss there's magic! Don't let it go, Kyle. 
"
Crowd,"Awwwww. 
"
Cartman,"I want to hold you every morning and love you every night, Kyle. I promise you nothing but love and happiness.
I swear by the moon and the stars in the sky 
I'll be there, Kyle
I swear  like a shadow that's by your side
Kyle, swear to God I'll be there.
For better or worse , till death do us part 
I'll love you with  every gay beat of my heart!
"
Brad,"I swear, Kyle.
"
Cartman,"I swear, Kyle. 
"
Nichole,"Where are you going?
"
Kyle,"That fat turd up there is the one who set up you and Token 'cause he thinks blacks belong together! 
"
Nichole,"He did that? Oh no.
"
Cartman,"Thank you! Thank you all. That's all I wanted to say. That and... The Bat-Mobile's outside.  Seriously guys, you gotta see it. The Bat-Mobile! It's outside.
"
Spectator,"What? 
"
Nichole,"Token. Hey.
"
Token,"Hi.
"
Nichole,"Token, I'm so sorry. I thought you were only with me because I'm black.
"
Token,"I'm sorry too. I wouldn't even talk to you at first because you were black. 
"
Both,"Do you think we could... Do you still want to... 
"
Nichole,"Maybe we can give it another try?
"
Token,"There are still people who will look at us funny. That think we're supposed to be together.
"
Nichole,"Let them look. I don't care.
"
Token,"I don't care, either. 
"
Nichole,"I just think you're a great person. The color of your skin doesn't matter.
"
Token,"YAY! 
"
Cartman,"Oh my gohhhd, so cute! 
"
Cupid Me,"Teeheehee, a place for everything, and everything in its place.
"
Cartman,"That's right, Cupid Me. People who are the same belong together.
"
Cupid Me,"That's right, and I found somebody who's just the same as you!
"
Cartman,"Really?!
"
Cupid Me,"There she is! 
"
Cartman,"What?! Fuck you, Cupid Me!
"
Cupid Me,"Teeheeheeheehee, fuck you! 
"
Cartman,"Hey, stop it!
"
Stacy,"Haaagh! 
"
Cartman,"Nooo!
"
Stacy,"Haahahaagh!
"
Dan,"Artonius Jackson catches the ball , he's running down the sideline-  Ohhhh!
"
Randy,"BOHHHHH! Did you see that hit? BOOOOM!
"
Dan,"Jackson stops at the 45 and he is slow to get up. 
"
Randy,"That was a great hit boys. Remember that at practice tomorrow.
"
Commentator,"Yeah, Jackson took a real shot and...  well I'm not sure what he's doing now, but uh, it appears as if he's looking for his keys, Dan.
"
Dan,"Yeah, and that doesn't make a lot of sense, because ever since his concussion in '06, he doesn't even have a license.
"
Commentator,"Coach Martin is coming over to tell him that now, but Jackson appears to think he's in a car driving home. 
"
Dan,"Well, during this time out we're happy to be joined by the commissioner of the NFL, Roger Goodell. Commissioner, a lot of hoopla about concussions this year in the NFL. How's the league handling all that?
"
Goodell,"Well, there certainly are interesting statistics coming out, Dan, and we are deeply concerned, anduh and waiting to see if there's... really any direct correlation between football and head trauma.
"
Dan,"Oh, and it looks like some of the MFL alumni are takin' the field now. There's All-Pro safety Martin Gregors , and fullback Jim Harris. Looks like his pants are down around his ankles. 
"
Commentator,"Somebody should let him know. Oh, and Old Surehand Mike Tafthill , who seems to be baking an imaginary cake, Dan.
"
Dan,"Yeah, not sure if that's meant to be a cake or, or perhaps a, a loaf of bread, but he definitely thinks he's baking something.
"
Butters,"Boy, I just don't get football. Guess that's why I suck at it.
"
Stan,"You don't suck at football, Butters, you suck at all sports.
"
Butters,"That's true. Old Eric tells me I should work at a Thai massage parlor, I'm so good at sucking.
"
Cartman,"That's right, Butters.
"
Dan,"And with that the Browns are ready to kick it off back to the Broncos
"
Randy,"All right all right, here we go boys! Watch them on the kickoff, all right? Special teams are the most important plays.
"
Kyle,"We don't have kickoffs anymore. 
"
Randy,"Huh?
"
Stan,"The school said they're the most dangerous plays, so they don't have us do 'em anymore.
"
Randy,"Wait wait wait, wait. Whoa! What! The! FUCK?!
"
Principal Victoria,"Okay, before we get started with this PTA meeting, does anyone have any outstanding issues?
"
Randy,"Yeah, I'd like to talk about this genius new rule in the football program about no kickoffs?
"
Mr. Mackey,"Uh, yes, we've decided to go without kickoffs because of the concerns raised over concussions, m'kay?
"
Randy,"Oh yeah, we don't want our kids getting hurt playing football! But I think I have a way to make it even better! Why don't we have the players just wear bras?!
"
Mr. Adler,"Bras?
"
Randy,"Yeah, the players should all wear bras! And instead of helmets, they should wear little tinfoil hats, 'cause, you know, it's the future and we shouldn't be so barbaric! 
"
Linda,"How would the bras and tinfoil hats make it safer?
"
Randy,"Oh, you're all not getting it! See, while we're at it, we'll have a balloon instead of a ball, and whoever catches the balloon tries to run while all the other players hug!
"
Mr. Mackey,"Huh. You you think the students would like that?
"
Randy,"Oh they'd love it! A sport where safety is all that matters? How about we call it ""sarcastaball""?!
"
Mr. Mackey,"Hnkay, would, would you mind being the coach of the South Park sarcastaball team?
"
Randy,"Jesus Christ! Yes, I would love to be the coach of the sarcastaball team!
"
Stan,"Dad, do we really have to wear bras?
"
Randy,"Yes Stan, this is what people want! Don't worry, you look really cool. 
"
Butters,"I got the balloon, Coach Marsh. Er, what should I do with it?
"
Randy,"Oh, you know, try to get it into the end zone, but be really polite about it.
"
Butters,"Okay! Hey, hey, heh excuse me. Pardon me. Heh,  you guys look terrific. Wow, this game is great!
"
Principal Victoria,"How's it going, coach?
"
Randy,"How's it going? Awesome! Nobody's getting hurt and the kids are learning valuable life lessons! 'Cause hugging and safety are what the world is all about!
"
Principal Victoria,"So you're happy with these changes?
"
Randy,"Happy? I'm thrilled! Look at how much better this is!
"
Principal Victoria,"Okay. 
"
Anchor,"Is football safe for your kids? Concerned Parent Randy Marsh says ""No,"" and has started a movement to reform the sport, gathering followers by the hundreds.
"
Randy,"Oh, this is good! Nice for you all to turn out in record numbers to show your support for sarcastaball!  Yeah yeah, we're, we're through with our kids getting knocked on the ground and tackled! Let's make sarcastaball the official school sport nationwide!  Go on, pat yourselves on the back! 
"
Anchor,"Showing just how much one concerned parent can do, Marsh then found himself in front of the leaders of Washington.
"
Randy,"Yeah, yeah! Let's do that! We got the economy in the toilet, a big election coming up, but this country's number one priority should be making football safer! 
"
Kyle,"This is ridiculous! Are we really going to go out there and play North Park like this?!
"
Clyde,"I can't even remember if we're supposed to hug the fullback or compliment him. I'm so confused.
"
Stan,"This game is stupid. I have no idea how to go out on the field and be as nice as I can to the other team!
"
Cartman,"Yeah, you know what?  Screw this!
"
Butters,"Hey, whoa! Well I can't believe what I'm hearing!  We've been practicing and gettin' ready for this game, and you fellas just wanna quit?!
"
Kyle,"We don't even understand how this game is played.
"
